team_in_possession,ball_zone_x,ball_zone_y,mean_norm_hull,mean_dist_k,n_frames
Belgium,7,4,44.793346886250845,8.730939516563058,21
Belgium,7,5,57.61635737911487,9.880775264741645,18
Belgium,7,6,64.66231216378088,10.164647659686251,34
Belgium,7,7,74.07667791286703,11.398363125021756,29
Belgium,8,0,59.95187348373563,9.611890006183863,22
Belgium,8,1,51.24625661944185,8.62025837918852,24
Belgium,8,2,45.454196932787056,6.629064305418231,19
Belgium,8,3,43.02559514375553,6.793396673179033,11
Belgium,8,4,38.12495537592919,7.810082576380107,17
Belgium,8,5,48.31161835787874,7.144852483614443,27
Belgium,8,6,58.41181154977281,8.003681498425328,30
Belgium,8,7,65.36745090683075,10.246955487716411,35
Belgium,9,0,49.69939376919821,10.228248587980675,28
Belgium,9,1,43.1552838712225,9.559221103902482,19
Belgium,9,2,31.35510603720165,6.080617068986389,16
Belgium,9,4,37.13640796228062,5.851517559106543,14
Belgium,9,5,45.10205716029536,6.142461903021535,11
Belgium,9,6,42.50028750083119,6.633549512269465,19
Belgium,9,7,47.96770123246791,10.542063034179202,21
Belgium,10,1,38.71944012084564,6.765025714683096,11
Belgium,10,2,32.09583972253879,5.539671244093998,10
Belgium,10,6,31.14806893904095,8.8136299088519,10
Belgium,10,7,40.28107712360718,10.174245968749508,12
Belgium,11,0,27.983226573382666,17.290536969453314,16
Belgium,11,2,27.865164808898,6.790349646308659,12
Belgium,11,7,24.69945232260416,19.63621549122253,11
Croatia,0,3,90.30348450969375,16.83751189844837,11
Croatia,0,4,86.15654694387872,17.152535167056758,21
Croatia,1,3,73.67086410565058,16.89566244810628,13
Croatia,1,4,81.94225658742444,12.63665165914339,15
Croatia,1,5,80.22340079868951,13.91530004931451,12
Croatia,2,1,80.93022168342937,11.356471790592112,11
Croatia,2,2,79.57932182962647,11.526111283849552,21
Croatia,2,4,59.91622931757392,15.447628640673766,14
Croatia,2,5,71.2372325659007,12.585603543143026,10
Croatia,2,6,72.40695290514064,10.897494788991324,20
Croatia,2,7,72.0851470763672,11.475067825295646,12
Croatia,3,2,69.08099404077133,12.38214432040586,16
Croatia,3,3,60.29322873030259,14.305752170684578,16
Croatia,3,4,55.33822049527077,13.19034403446476,12
Croatia,3,5,57.081842238318906,12.863680863611117,19
Croatia,3,6,66.20914471232282,11.876795915778537,22
Croatia,4,0,76.04476238278637,12.846880770344649,14
Croatia,4,1,72.52378784901569,11.514817525488745,13
Croatia,4,2,58.99117675585675,10.877113655642356,24
Croatia,4,3,62.81433215364392,11.190460934243928,26
Croatia,4,4,56.424047177951834,11.227063337558404,21
Croatia,4,5,59.9241119156505,12.645465689227583,30
Croatia,4,6,57.35369397433279,11.254694864643788,30
Croatia,4,7,62.566192568416746,12.410610344798386,24
Croatia,5,1,62.397436263204845,10.170964443522891,12
Croatia,5,2,55.50303340385504,10.752343443877482,26
Croatia,5,3,55.72647555561594,10.608783621602218,23
Croatia,5,4,54.37995157213308,10.431342391209945,30
Croatia,5,5,55.284950381094795,11.160916139020054,22
Croatia,5,6,58.21620944733776,10.487521040378889,21
Croatia,5,7,64.83641623428929,11.492231984108425,20
Croatia,6,0,65.84879041383759,10.742565237903987,12
Croatia,6,1,56.50259995088711,10.665268705948069,20
Croatia,6,2,56.78946726721005,10.50142369843356,31
Croatia,6,3,52.18790518863805,10.830529479352373,23
Croatia,6,4,49.360746744087315,10.141540437943826,29
Croatia,6,5,59.44844122095552,8.458389996765453,31
Croatia,6,6,61.609139539637525,11.029896118785986,22
Croatia,6,7,71.02134506068317,10.077701869742338,34
Croatia,7,0,59.17822335686007,10.753137487879199,19
Croatia,7,1,55.78309026859919,10.061968360292955,30
Croatia,7,2,45.82673263449577,8.584186808310854,41
Croatia,7,3,41.942235091035684,8.63532485203347,31
Croatia,7,4,45.48828910952686,8.800480746870662,31
Croatia,7,5,45.57965088648625,9.413513642172221,26
Croatia,7,6,50.81174771742785,9.503782572014774,25
Croatia,7,7,65.38241834654934,9.762086355987181,21
Croatia,8,0,48.88582660063109,10.540303697667232,15
Croatia,8,1,42.73203944230342,8.217637328714513,17
Croatia,8,2,41.39104158280284,8.201350464537846,26
Croatia,8,3,35.05874514373379,7.230149427155486,25
Croatia,8,4,37.85107715191463,7.001693994337646,26
Croatia,8,5,41.930507382326795,7.42777361809034,26
Croatia,8,6,46.0315947353515,9.173542735208759,28
Croatia,8,7,58.27971380781835,10.694863147491544,24
Croatia,9,0,49.63932108975457,9.601480006019488,15
Croatia,9,1,39.639497165682634,8.201451953164876,15
Croatia,9,2,34.264569840170076,5.7788727331516005,23
Croatia,9,3,31.0143729219872,4.570082987454852,12
