player,team,urs_sum,off_ball_potential_sum,off_ball_captured_sum,xepv_mean,n_confident_candidates,n_received,receiver_conf_rate,primary_role,minutes_played,macro_role,urs_per90,off_ball_potential_per90,n_confident_per90,capitalization_rate,latency_rate,urs_pct_within_role,potential_pct_within_role,xepv_mean_pct_within_role,latency_pct_within_role
Andreas Christensen,Denmark,1.8753960042229496,3.3782157879530708,1.5028197837301214,0.011608988962038044,291,119,0.40893470790378006,Left Center Back,349,CB,0.48362647673371195,0.8711731258331701,75.0429799426934,0.4448560654678339,0.555143934532166,90.2,91.8,70.5,41.0
João Pedro Cavaco Cancelo,Portugal,1.8322854806416977,3.115820667765595,1.2835351871238976,0.013972289989980248,223,84,0.37668161434977576,Right Back,341,FB,0.4835944083805067,0.822357360993852,58.85630498533724,0.41194129058921136,0.5880587094107886,73.7,73.7,40.4,57.9
Kevin De Bruyne,Belgium,2.014388401463747,3.710032630579581,1.6956442291158342,0.01686378468445264,220,96,0.43636363636363634,Center Attacking Midfield,375,CAM,0.4834532163512993,0.8904078313390994,52.8,0.4570429421939992,0.5429570578060008,65.0,75.0,30.0,35.0
João Maria Lobo Alves Palhinha Gonçalves,Portugal,1.562647830500146,3.117522107114397,1.554874276614251,0.013379923206499559,233,100,0.4291845493562232,Left Defensive Midfield,300,MID,0.4687943491500438,0.9352566321343191,69.89999999999999,0.4987532479933093,0.5012467520066908,60.0,61.5,32.3,29.2
Federico Dimarco,Italy,1.1954219396206323,1.786197350787213,0.5907754111665808,0.014521929681196854,123,41,0.3333333333333333,Left Back,230,FB,0.4677738024602474,0.6989467894384747,48.130434782608695,0.33074475835842787,0.6692552416415721,71.9,61.4,49.1,96.5
Joachim Andersen,Denmark,1.9132553549209255,3.529198744332313,1.6159433894113875,0.01180334028204787,299,127,0.42474916387959866,Right Center Back,369,CB,0.46664764754168914,0.8607801815444667,72.92682926829268,0.4578782625961482,0.5421217374038518,88.5,90.2,77.0,34.4
Andrej Kramarić,Croatia,1.2395960150072114,2.064963875014377,0.8253678600071657,0.020858220959741183,99,38,0.3838383838383838,Left Wing,241,WIDE,0.4629196736541453,0.7711483350676097,36.97095435684647,0.3997008712810626,0.6002991287189374,73.0,70.3,78.4,51.4
Marcelo Brozović,Croatia,1.1972745664742206,2.4881565242487924,1.2908819577745716,0.013305649862293007,187,87,0.46524064171123,Center Defensive Midfield,233,MID,0.4624665707411153,0.9610905029287181,72.23175965665236,0.5188105913731879,0.48118940862681214,58.5,63.1,30.8,13.8
Aymeric Laporte,Spain,2.736184255926647,4.809994521948799,2.0738102660221522,0.012964944803096495,371,144,0.3881401617250674,Left Center Back,533,CB,0.46201985559737,0.8121941969519549,62.64540337711069,0.43114607647867653,0.5688539235213235,86.9,86.9,90.2,55.7
Ivan Perišić,Croatia,0.7197039055304291,1.1858297902614472,0.4661258847310181,0.02044534121140426,58,21,0.3620689655172414,Left Back,142,FB,0.4561503626601311,0.7515822614333115,36.76056338028169,0.3930799247573705,0.6069200752426295,70.2,64.9,98.2,73.7
John Stones,England,3.4270402019957533,5.971352347550771,2.544312145555018,0.011395710586928951,524,209,0.3988549618320611,Right Center Back,686,CB,0.44961168830848075,0.7834135732938329,68.74635568513119,0.4260864202057347,0.5739135797942654,85.2,85.2,67.2,60.7
Alexander Hartmann Bah,Denmark,1.3993318223362807,2.6363575884677775,1.2370257661314967,0.0144063256200425,183,78,0.4262295081967213,Right Wing Back,281,FB,0.44818456943154894,0.8443849927476866,58.612099644128115,0.469217746311282,0.530782253688718,68.4,75.4,45.6,17.5
Josip Stanišić,Croatia,0.9297177343172376,1.6813334429545217,0.751615708637284,0.013033592581042804,129,54,0.4186046511627907,Right Back,187,FB,0.4474577330938577,0.8091979137214276,62.0855614973262,0.4470354835246172,0.5529645164753828,66.7,70.2,28.1,33.3
Lamine Yamal Nasraoui Ebana,Spain,2.5181666680361863,4.087072088232725,1.5689054201965391,0.02151090572754066,190,63,0.33157894736842103,Right Wing,507,WIDE,0.4470118345626366,0.7255157553075844,33.72781065088758,0.3838702587883502,0.6161297412116498,70.3,67.6,83.8,67.6
Joško Gvardiol,Croatia,1.4105144321475114,2.3957870798573393,0.985272647709828,0.014698080244523555,163,62,0.3803680981595092,Left Back,284,CB,0.4469940101875916,0.7592282999547907,51.65492957746479,0.41125217511753903,0.5887478248824609,83.6,82.0,98.4,67.2
Davide Frattesi,Italy,0.9146051791784491,1.4256931274947684,0.5110879483163193,0.018759120098615373,76,24,0.3157894736842105,Right Center Midfield,185,MID,0.4449430601408671,0.6935804404028603,36.972972972972975,0.35848384091912144,0.6415161590808786,56.9,38.5,100.0,100.0
Bukayo Saka,England,3.090534329135512,4.867574800375095,1.7770404712395835,0.019013964063965216,256,85,0.33203125,Right Wing,626,WIDE,0.4443260217606966,0.6998110735363555,36.80511182108626,0.36507717787976157,0.6349228221202384,67.6,62.2,62.2,75.7
Eduardo Camavinga,France,0.8706566711844629,1.672260158003462,0.8016034868189992,0.0179812920215426,93,43,0.46236559139784944,Left Center Midfield,177,MID,0.44270678195820146,0.8503017752559976,47.288135593220346,0.4793533368492414,0.5206466631507586,55.4,55.4,98.5,44.6
Bruno Miguel Borges Fernandes,Portugal,1.861294944510007,4.078621422104362,2.2173264775943555,0.01651263733645491,247,124,0.5020242914979757,Center Attacking Midfield,379,MID,0.4419961609654371,0.9685380685735953,58.65435356200528,0.5436460627547842,0.4563539372452158,53.8,64.6,83.1,7.7
