competition_id,team_season,team_id,team_name,fixtures_url,matchday,date,time,home_team_id,home_team_name,home_team_relative_url,away_team_id,away_team_name,away_team_relative_url,system_of_play,coach_name,coach_id,coach_relative_url,attendance,result,result_color,match_report_id,match_report_relative_url,match_report_url
EURO,2024,3503,Slovakia,https://www.transfermarkt.com/slowakei/spielplan/verein/3503/saison_id/2024/plus/1,Group E,Fri 21/06/2024,3:00 PM,3503,Slovakia,/slowakei/startseite/verein/3503/saison_id/2024,3699,Ukraine,/ukraine/startseite/verein/3699/saison_id/2024,4-3-3 Attacking,Francesco Calzona,33804,/francesco-calzona/profil/trainer/33804,43.910,1:2,red,4235827,/spielbericht/index/spielbericht/4235827,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235827
EURO,2024,3503,Slovakia,https://www.transfermarkt.com/slowakei/spielplan/verein/3503/saison_id/2024/plus/1,Group E,Wed 26/06/2024,6:00 PM,3503,Slovakia,/slowakei/startseite/verein/3503/saison_id/2024,3447,Romania,/rumanien/startseite/verein/3447/saison_id/2024,4-3-3 Attacking,Francesco Calzona,33804,/francesco-calzona/profil/trainer/33804,45.033,1:1,,4235839,/spielbericht/index/spielbericht/4235839,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235839
EURO,2024,3556,Croatia,https://www.transfermarkt.com/kroatien/spielplan/verein/3556/saison_id/2024/plus/1,Group B,Wed 19/06/2024,3:00 PM,3556,Croatia,/kroatien/startseite/verein/3556/saison_id/2024,3561,Albania,/albanien/startseite/verein/3561/saison_id/2024,4-3-3 Attacking,Zlatko Dalic,2711,/zlatko-dalic/profil/trainer/2711,46.784,2:2,,4235821,/spielbericht/index/spielbericht/4235821,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235821
EURO,2024,3556,Croatia,https://www.transfermarkt.com/kroatien/spielplan/verein/3556/saison_id/2024/plus/1,Group B,Mon 24/06/2024,9:00 PM,3556,Croatia,/kroatien/startseite/verein/3556/saison_id/2024,3376,Italy,/italien/startseite/verein/3376/saison_id/2024,4-3-3 Attacking,Zlatko Dalic,2711,/zlatko-dalic/profil/trainer/2711,38.322,1:1,,4235833,/spielbericht/index/spielbericht/4235833,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235833
EURO,2024,3561,Albania,https://www.transfermarkt.com/albanien/spielplan/verein/3561/saison_id/2024/plus/1,Group B,Mon 24/06/2024,9:00 PM,3561,Albania,/albanien/startseite/verein/3561/saison_id/2024,3375,Spain,/spanien/startseite/verein/3375/saison_id/2024,4-2-3-1,Sylvinho,24104,/sylvinho/profil/trainer/24104,46.586,0:1,red,4235834,/spielbericht/index/spielbericht/4235834,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235834
EURO,2024,3588,Slovenia,https://www.transfermarkt.com/slowenien/spielplan/verein/3588/saison_id/2024/plus/1,Group C,Sun 16/06/2024,6:00 PM,3588,Slovenia,/slowenien/startseite/verein/3588/saison_id/2024,3436,Denmark,/danemark/startseite/verein/3436/saison_id/2024,4-4-2,Matjaz Kek,1519,/matjaz-kek/profil/trainer/1519,54.000,1:1,,4235811,/spielbericht/index/spielbericht/4235811,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235811
EURO,2024,3588,Slovenia,https://www.transfermarkt.com/slowenien/spielplan/verein/3588/saison_id/2024/plus/1,Group C,Thu 20/06/2024,3:00 PM,3588,Slovenia,/slowenien/startseite/verein/3588/saison_id/2024,3438,Serbia,/serbien/startseite/verein/3438/saison_id/2024,4-4-2,Matjaz Kek,1519,/matjaz-kek/profil/trainer/1519,63.028,1:1,,4235823,/spielbericht/index/spielbericht/4235823,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235823
EURO,2024,3669,Georgia,https://www.transfermarkt.com/georgien/spielplan/verein/3669/saison_id/2024/plus/1,Group F,Sat 22/06/2024,3:00 PM,3669,Georgia,/georgien/startseite/verein/3669/saison_id/2024,3445,Czechia,/tschechien/startseite/verein/3445/saison_id/2024,3-4-3,Willy Sagnol,12806,/willy-sagnol/profil/trainer/12806,46.524,1:1,,4235830,/spielbericht/index/spielbericht/4235830,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235830
EURO,2024,3669,Georgia,https://www.transfermarkt.com/georgien/spielplan/verein/3669/saison_id/2024/plus/1,Group F,Wed 26/06/2024,9:00 PM,3669,Georgia,/georgien/startseite/verein/3669/saison_id/2024,3300,Portugal,/portugal/startseite/verein/3300/saison_id/2024,5-3-2,Willy Sagnol,12806,/willy-sagnol/profil/trainer/12806,49.616,2:0,green,4235841,/spielbericht/index/spielbericht/4235841,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235841
EURO,2024,3699,Ukraine,https://www.transfermarkt.com/ukraine/spielplan/verein/3699/saison_id/2024/plus/1,Group E,Wed 26/06/2024,6:00 PM,3699,Ukraine,/ukraine/startseite/verein/3699/saison_id/2024,3382,Belgium,/belgien/startseite/verein/3382/saison_id/2024,5-3-2,Sergiy Rebrov,10892,/sergiy-rebrov/profil/trainer/10892,54.000,0:0,,4235840,/spielbericht/index/spielbericht/4235840,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235840
